algorithm,group_name,scenario_type,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
msd_ag_nsga2,mechanism_50_4,remote_hotspot,165,0.6264172312354155,0.062209308455190085,0.048472153855485436,0.018666788311020678,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,170,0.6278323880322196,0.0624516455141488,0.04783933647674273,0.01880521935802666,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,175,0.6295015742201056,0.06238273704250006,0.04714556318671046,0.018510870992085277,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,180,0.630661095641217,0.0624027022582315,0.04648640265867247,0.018487711938700024,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,185,0.6321779795618668,0.06273997642472147,0.04583775162895527,0.01847943941402629,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,190,0.6332030593600121,0.06282013917398631,0.045392204608976014,0.018521687484613046,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,195,0.6340700173882563,0.06276573227828472,0.044886365934486534,0.018497808748847436,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,200,0.6353748818955138,0.06300449314671244,0.044315978091133815,0.018417139056590204,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,205,0.6365422135259571,0.0631094988818713,0.0436996488714957,0.01836394309485919,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,210,0.6376487860636162,0.06316148967821923,0.04317424172692601,0.01818906566230241,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,215,0.6385046767939103,0.0631172176252562,0.04274777198984893,0.01813454281834213,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,220,0.6399186917950651,0.06283585739802253,0.042206937673873304,0.01813566366795802,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,225,0.6409505754928151,0.06274260895227642,0.041724615836425706,0.018141501039073162,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,230,0.641898359797356,0.06263051467932709,0.04124792706209223,0.018079429312409454,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,235,0.6429646974827072,0.06272408921302912,0.040793593702462085,0.017922211798234507,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,240,0.6438111353974112,0.06252708699502853,0.040445198225427074,0.01776747753562773,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,245,0.6448980892053907,0.0628059757391544,0.040138766137571016,0.01781649368271951,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,0,0.38412782107329396,0.09847284480933699,0.1673488935586489,0.048709534738182084,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,1,0.40285881291884207,0.10510663194869292,0.1573431958001709,0.04546438267902083,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,5,0.4224329087972185,0.10662997592653128,0.14594072048025133,0.043165419752098075,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,10,0.4644219614404198,0.10007424664223438,0.1128432440041975,0.03228774988500585,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,15,0.47777345896339085,0.09766023351203948,0.10474244246444656,0.02874617190627137,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,20,0.48496992065365685,0.09694448346532214,0.10163778996164355,0.028130658851900286,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,25,0.4942182060379647,0.0958838754789606,0.09647314139283439,0.025832734557824755,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,30,0.5010884208553463,0.09599885976109572,0.09316977287565334,0.02551219747770032,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,35,0.5078341548275034,0.09574008153784741,0.08939917150151347,0.024321381956431503,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,40,0.5151087797070559,0.09404188894751714,0.08594893832935731,0.022778573837984192,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,45,0.5193116201193517,0.09389921454364293,0.08373494309753793,0.022420268240537344,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,50,0.5245979395721074,0.09342482418676122,0.08106591092973167,0.02141749567201307,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,55,0.5307821303876662,0.09278434376945074,0.07803420117419145,0.02076388826830698,80
msd_ag_nsga2_wo_bbr,mechanism_50_4,multi_hotspot_boundary,60,0.5350675910734743,0.09318782531283652,0.07620313648756172,0.020454163974773062,80
